레시피구분,레시피명,열량,식재료명,식재료양
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,간장,3g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,콩기름(대두유),2g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,설탕(백설탕),2g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,마늘,1g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,후추,0.1g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,맛술,0.1g
기타,토마토바질샐러드,열량 : 71.85 kcal,토마토,80g
기타,토마토바질샐러드,열량 : 71.85 kcal,바질(바실),5g
기타,토마토바질샐러드,열량 : 71.85 kcal,꿀,3g
기타,토마토바질샐러드,열량 : 71.85 kcal,올리브유,2g
기타,토마토바질샐러드,열량 : 71.85 kcal,아몬드,2g
기타,토마토바질샐러드,열량 : 71.85 kcal,땅콩,2g
기타,토마토바질샐러드,열량 : 71.85 kcal,설탕(백설탕),1g
기타,토마토바질샐러드,열량 : 71.85 kcal,양파,1g
기타,토마토바질샐러드,열량 : 71.85 kcal,소금(고운소금),0.2g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,닭고기(다리살),80g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,카레(인도풍붉은카레반고형),5g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,우유(저지방우유),2g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,콩기름(대두유),2g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,분말(칠리분말),1.5g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,소금(고운소금),0.5g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,마늘,0.5g
구이류,인도풍탄두리치킨,열량 : 169.92 kcal,후추(검은색),0.02g
보조식,컵과일,열량 : 52.8 kcal,사과,30g
보조식,컵과일,열량 : 52.8 kcal,파인애플(골드파인애플),20g
보조식,컵과일,열량 : 52.8 kcal,토마토(대추방울토마토),20g
보조식,컵과일,열량 : 52.8 kcal,포도(씨없는포도),15g
보조식,컵과일,열량 : 52.8 kcal,키위,15g
