식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
게류_깨다시꽃게_육_생것_대표_8월,80,13.85,1.91,0.82
게류_꽃게_다리_생것_대표_평균,112,10.15,6.46,2.02
게류_꽃게_몸통_생것_대표_평균,65,14.44,0.46,0.0
게류_꽃게_육_삶은것_대표_평균,81,16.1,0.3,0.6
게류_꽃게_육_생것_대표_평균,85,16.19,0.7,0.43
게류_꽃게_육_생것_부산_6월,91,12.69,3.56,0.93
게류_꽃게_육_생것_인천_평균,74,13.7,0.8,2.0
게류_꽃게_육_젓갈_대표_평균,63,12.2,0.6,0.8
게류_꽃게_육_찐것_대표_평균,92,17.88,0.74,0.0
게류_닭게_육_생것_대표_평균,69,15.2,0.5,0.1
게류_대게_다리_생것_여수_4월,86,17.46,0.64,1.46
게류_대게_알_생것_여수_4월,139,17.38,3.67,7.63
게류_대게_육_데쳐서 말린것_대표_평균,314,66.7,2.6,2.0
게류_대게_육_삶은것_대표_평균,72,15.0,0.6,0.1
게류_대게_육_생것_영덕_평균,85,17.4,1.0,0.5
게류_대게_육_통조림_대표_평균,77,16.3,0.4,0.2
게류_동남참게_육_생것_가평(청평)_4월,125,13.2,3.0,9.8
게류_동남참게_육_생것_광양_평균,156,16.79,8.49,1.36
게류_동남참게_육_생것_대표_4월,125,13.24,2.99,9.87
게류_민꽃게_육_생것_부산_5월,86,14.8,1.6,1.99
게류_방게_육_생것_대표_평균,73,11.9,1.3,0.9
"게류_붉은대게_수컷,다리_생것_대표_10월",64,13.9,0.39,0.44
"게류_붉은대게_수컷,다리_생것_대표_11월",54,11.35,0.69,0.0
"게류_붉은대게_수컷,다리_생것_대표_12월",51,11.06,0.18,0.68
"게류_붉은대게_수컷,다리_생것_대표_1월",56,11.94,0.43,0.34
"게류_붉은대게_수컷,다리_생것_대표_2월",66,12.47,0.65,1.71
"게류_붉은대게_수컷,다리_생것_대표_3월",54,11.59,0.55,0.0
"게류_붉은대게_수컷,다리_생것_대표_4월",55,10.92,0.89,0.02
"게류_붉은대게_수컷,다리_생것_대표_5월",67,14.9,0.42,0.15
"게류_붉은대게_수컷,다리_생것_대표_6월",65,13.52,0.87,0.0
