식품명,식재료코드
블루베리/말린것(건조),1030560007
블루베리/소포장,1030560008
블루베리/냉동,1030560009
비파,1030570001
사과,1030580001
사과/일반,1030580002
사과/친환경,1030580003
사과/GAP,1030580004
"사과/간식용, 말린것(건조)",1030580005
사과/김치제조용,1030580006
사과/말린것(건조),1030580007
사과(미니사과),1030590001
"사과(부사, 후지)",1030600001
"사과(부사, 후지)/일반",1030600002
"사과(부사, 후지)/친환경",1030600003
"사과(부사, 후지)/GAP",1030600004
사과(아오리),1030610001
사과(아오리)/일반,1030610002
사과(아오리)/친환경,1030610003
사과(아오리)/GAP,1030610004
사과(양광),1030620001
사과(양광)/일반,1030620002
사과(양광)/친환경,1030620003
사과(양광)/GAP,1030620004
사과(홍로),1030630001
사과(홍로)/일반,1030630002
사과(홍로)/친환경,1030630003
사과(홍로)/GAP,1030630004
사과(홍옥),1030640001
사과(홍옥)/일반,1030640002
사과(홍옥)/친환경,1030640003
사과(홍옥)/GAP,1030640004
살구,1030650001
살구/일반,1030650002
살구/친환경,1030650003
살구/GAP,1030650004
살구/말린것(건조),1030650005
석류,1030660001
석류/일반,1030660002
석류/친환경,1030660003
석류/GAP,1030660004
석류/말린것(건조),1030660005
수박,1030670001
수박/일반,1030670002
수박/친환경,1030670003
수박/GAP,1030670004
수박(복수박),1030680001
수박(속노란수박(황육질)),1030690001
수박(씨없는수박),1030700001
수박(애플수박),1030710001
수박(흑수박),1030720001
아보카도,1030730001
앵두,1030740001
앵두/일반,1030740002
앵두/친환경,1030740003
앵두/GAP,1030740004
엘더베리,1030750001
엘더베리/일반,1030750002
엘더베리/친환경,1030750003
엘더베리/GAP,1030750004
오디,1030760001
오디/일반,1030760002
오디/친환경,1030760003
오디/GAP,1030760004
오디(백과),1030770001
오디(흑과),1030780001
오렌지,1030790001
오렌지(네이블),1030800001
올리브,1030810001
올리브/말린것(건조),1030810002
올리브(그린올리브),1030820001
올리브(그린올리브)/절인것,1030820002
올리브(블랙올리브),1030830001
올리브(블랙올리브)/절인것,1030830002
용과(적용과),1030840001
용과(황용과),1030850001
유자,1030860001
유자/일반,1030860002
유자/친환경,1030860003
유자/GAP,1030860004
자두,1030870001
자두/국산,1030870002
자두/외국산,1030870003
자두/일반,1030870004
자두/친환경,1030870005
자두/GAP,1030870006
자두/말린것(건조),1030870007
자두(추희),1030880001
자두(피자두),1030890001
자두(후무사),1030900001
자두(후무사)/일반,1030900002
자두(후무사)/친환경,1030900003
자두(후무사)/GAP,1030900004
자몽,1030910001
참외,1030920001
참외/일반,1030920002
참외/친환경,1030920003
참외/GAP,1030920004
참외(개구리참외),1030930001
참외(금싸라기),1030940001
참외(은천),1030950001
체리,1030960001
체리/국산,1030960002
체리/외국산,1030960003
체리/일반,1030960004
체리/친환경,1030960005
체리/GAP,1030960006
체리/말린것(건조),1030960007
코코넛,1030970001
코코넛/말린것(건조),1030970002
"코코넛/간것(가루, 분말)",1030970003
크랜베리,1030980001
크랜베리/일반,1030980002
크랜베리/친환경,1030980003
크랜베리/GAP,1030980004
크랜베리/말린것(건조),1030980005
크랜베리/냉동,1030980006
키위,1030990001
키위/일반,1030990002
키위/친환경,1030990003
키위/GAP,1030990004
키위/껍질제거(깐것),1030990005
"키위/껍질제거(깐것), 조각낸것",1030990006
키위(골드참다래),1031000001
키위(골드참다래)/일반,1031000002
키위(골드참다래)/친환경,1031000003
키위(골드참다래)/GAP,1031000004
키위(골드키위),1031010001
키위(골드키위)/일반,1031010002
키위(골드키위)/친환경,1031010003
키위(골드키위)/GAP,1031010004
키위(골드키위)/껍질제거(깐것),1031010005
"키위(골드키위)/껍질제거(깐것), 조각낸것",1031010006
키위(그린참다래),1031020001
키위(그린참다래)/일반,1031020002
키위(그린참다래)/친환경,1031020003
키위(그린참다래)/GAP,1031020004
키위(레드참다래),1031030001
키위(레드참다래)/일반,1031030002
키위(레드참다래)/친환경,1031030003
