식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
콩(대두)_대풍_볶은것,460,35.8,19.5,37.3
콩(대두)_수입산(미국산)_말린것,432,33.9,16.0,39.6
콩(대두)_서리태_말린것,413,38.68,15.86,30.45
콩(대두)_서리태_삶은것,196,19.02,8.75,11.39
콩(대두)_서리태_볶은것,436,41.72,16.72,31.27
콩(대두)_수입산(중국산)_말린것,433,32.7,16.9,39.2
콩(대두)_청자3호_말린것,399,34.6,12.6,37.84
콩(대두)_청자3호_볶은것,452,37.4,18.1,36.7
콩(대두)_흑태_말린것,407,36.1,15.37,32.45
콩(대두)_흑태_삶은것,199,17.87,9.05,12.4
콩(대두)_흑태_볶은것,446,40.99,17.31,33.31
팥_검정팥_말린것,330,20.63,0.96,58.72
팥_검정팥_삶은것,156,9.49,0.86,27.15
팥_붉은팥_말린것,337,21.59,1.1,59.29
팥_붉은팥_삶은것,113,7.91,0.32,19.4
팥_붉은팥+수입산(중국산)_말린것,357,19.6,0.5,68.5
팥_회색팥_말린것,350,21.9,1.0,63.3
팥_팥+황백_말린것,343,22.38,1.17,59.85
팥_검정팥+검구슬_말린것,336,20.57,1.05,60.26
팥_붉은팥+서나_말린것,341,21.14,1.22,60.56
팥_붉은팥+아라리_말린것,338,21.59,1.06,59.5
팥_녹색팥+연두채_말린것,341,22.58,1.0,59.54
팥_팥+황백+흰구슬_말린것,348,21.55,1.44,61.43
팥_팥+황백+흰나래_말린것,337,23.2,0.89,58.26
렌즈콩(렌틸콩)_수입산(인도산)_빨간색_말린것,368,23.58,1.73,63.68
렌즈콩(렌틸콩)_수입산(인도산)_갈색_말린것,365,22.64,1.52,64.3
병아리콩_수입산(인도산)_말린것,377,17.78,5.67,63.3
강낭콩_말린것을 삶은것,169,10.35,0.93,29.43
렌즈콩(렌틸콩)_수입산(인도산)_빨간색_말린것을 삶은 것,150,9.79,0.88,25.39
병아리콩_수입산(인도산)_말린것을 삶은 것,183,9.18,3.2,29.24
완두_말린것을 삶은것,174,13.03,1.35,27.06
개암(헤이즐넛)_말린것,628,14.95,60.75,16.7
개암(헤이즐넛)_볶은것,646,15.03,62.4,17.6
도토리_생것,230,4.4,3.0,46.7
도토리_분말화한것,354,1.1,1.1,83.7
도토리_졸참도토리_분말화한것,342,4.6,0.5,79.2
도토리_종가시도토리_분말화한것,348,3.3,1.6,79.5
도토리 국수_말린것,343,12.4,0.7,72.2
도토리묵,47,0.33,0.11,11.23
도토리묵_분말화한것,366,1.7,1.23,87.09
들깨_말린것,530,22.68,39.74,29.26
들깨_볶은것,530,23.59,36.23,35.53
땅콩_말린것,520,25.74,42.57,18.36
땅콩_분말화한것,560,28.43,43.11,24.62
땅콩_볶은것,567,28.5,46.24,19.91
땅콩_삶은것에 소금을 가한것,318,13.5,22.01,21.26
땅콩_검정땅콩_말린것,574,19.3,47.7,26.5
땅콩_대립종_말린것,571,26.1,49.1,17.1
땅콩_소립종_말린것,564,22.4,46.3,24.2
땅콩_중립종_말린것,549,20.3,43.0,29.1
때죽_말린것,551,13.6,44.7,31.8
마름_생것,183,5.8,0.5,40.6
머루씨_생것,282,6.3,4.8,54.0
밤_생것,151,3.28,0.5,33.39
밤_말린것,377,6.7,4.1,78.6
밤_삶은것,154,3.45,0.51,33.95
밤_구운것,206,4.65,0.68,45.36
밤_단택_생것,150,2.7,0.1,34.3
밤_단택_삶은것,150,3.2,0.2,33.6
밤_단택_구운것,187,3.8,0.1,42.5
밤_대보_생것,146,2.9,0.1,33.3
밤_대보_삶은것,155,3.0,0.1,35.2
밤_대보_구운것,181,3.6,0.1,41.2
밤_옥광_생것,147,2.9,0.1,33.5
밤_옥광_삶은것,154,3.1,0.1,35.0
밤_이평_생것,157,3.5,0.1,35.4
밤_이평_삶은것,155,3.7,0.2,34.4
밤_축파_생것,141,2.8,0.1,32.1
밤_축파_삶은것,138,2.5,0.1,31.6
밤_축파_구운것,185,3.5,0.1,42.2
브라질너트_말린것,659,14.32,67.1,11.74
삼씨(대마씨)_말린것,450,29.9,28.3,31.7
수박씨_말린것,451,19.3,22.9,47.2
아몬드_말린것,581,23.44,49.96,20.09
아몬드_볶은것,594,23.45,51.29,20.49
연씨_미숙_생것,81,5.9,0.5,14.9
은행_생것,203,4.69,1.53,42.78
은행_삶은것,186,4.31,1.86,38.25
은행_볶은것,221,5.0,2.05,45.76
잣_생것,630,15.96,59.28,19.38
잣_말린것,640,15.4,61.5,17.6
잣_볶은것,708,17.6,75.0,4.7
참깨_검정깨_말린것,549,20.85,44.12,26.45
참깨_검정깨_볶은것,539,21.28,42.3,27.42
참깨_흰깨_말린것,556,25.41,45.31,21.77
참깨_흰깨_볶은것,557,25.96,45.11,21.83
코코넛_말린것,660,6.88,64.53,23.65
코코넛_볶은것,592,5.3,47.0,44.4
피스타치오넛_말린것,560,20.16,45.32,27.17
피스타치오넛_볶은것,584,25.99,48.89,20.82
피칸_말린것,691,9.17,71.97,13.86
해바라기씨_말린것,589,21.93,52.26,18.58
해바라기씨_볶은것,582,19.33,49.8,24.07
호두_말린것,688,15.47,71.99,7.92
호두_볶은것,713,14.6,68.8,11.7
호박씨_말린것,548,35.35,48.18,5.34
아마씨_볶은것,540,21.8,43.3,30.4
치아씨_씨앗_말린것,486,16.54,30.74,42.12
목화씨_구운것,506,32.59,36.29,21.9
가시오가피_순_생것,76,5.67,0.7,15.87
가시오가피_순_데친것,63,5.25,0.85,11.99
가지_생것,19,1.13,0.03,4.36
가지_말린것,290,14.53,2.4,65.59
가지_소금에 절인것,22,1.4,0.1,5.2
가지_데친것,19,1.0,0.1,4.4
갓_생것,36,3.5,0.2,7.3
갓_돌산갓_생것,24,2.66,0.28,4.22
갯기름나물_생것,47,3.71,0.41,9.67
갯기름나물_데친것,49,3.86,0.71,9.39
갯기름나물_노지_생것,41,3.94,0.32,7.91
갯기름나물_노지_데친것,44,3.62,0.57,8.56
갯기름나물_노지_어린잎_생것,53,4.17,0.52,10.92
갯기름나물_노지_어린잎_데친것,53,4.11,0.8,10.15
갯기름나물_하우스_생것,50,3.12,0.44,10.75
갯기름나물_하우스_데친것,52,3.41,0.79,10.25
갯기름나물_하우스_어린잎_생것,44,3.59,0.36,9.09
갯기름나물_하우스_어린잎_데친것,47,4.28,0.69,8.61
게걸무_뿌리_생것,57,2.84,0.2,12.43
게걸무_잎_생것,32,2.08,0.25,6.95
겨자_적겨자_생것,24,3.54,0.27,3.57
겨자_청겨자_생것,24,3.03,0.17,4.19
고들빼기_생것,29,1.6,0.5,5.8
