레시피구분,레시피명,열량
국류,소고기무국(유두절),열량 : 160.86 kcal
빵류,모닝빵,열량 : 316 kcal
볶음류,묵은지돼지불고기,열량 : 140.23 kcal
볶음류,돼지고기불고기,열량 : 297.6 kcal
부침류,달걀후라이,열량 : 90.77 kcal
구이류,장어양념구이,열량 : 185.03 kcal
국류,시래기된장국,열량 : 28.37 kcal
국류,바지락쑥국,열량 : 94.75 kcal
튀김류,콩고기버섯탕수육,열량 : 197.28 kcal
면류,미니한우쌀국수,열량 : 233.85 kcal
밥류,아주까리나물밥,열량 : 434.32 kcal
구이류,통고구마버터구이,열량 : 97.53 kcal
조림류,달걀장조림,열량 : 160.98 kcal
기타,주꾸미겨자소스냉채,열량 : 67.5 kcal
밥류,꽁보리밥(비빔밥용),열량 : 192.32 kcal
보조식,바게트과카몰리,열량 : 73.93 kcal
찜류,마늘보쌈,열량 : 594.7 kcal
찜류,교자만두찜,열량 : 218.72 kcal
면류,닭칼국수,열량 : 425.45 kcal
볶음류,한우버섯불고기,열량 : 118.31 kcal
볶음류,돼지고기폭찹,열량 : 110.44 kcal
구이류,자반고등어구이,열량 : 243.45 kcal
볶음류,오징어돼지고기불고기,열량 : 113.57 kcal
찜류,등갈비찜,열량 : 123.03 kcal
국류,아욱국,열량 : 41.01 kcal
튀김류,수제치킨가스/소스,열량 : 110.07 kcal
무침류,근대나물무침,열량 : 57.09 kcal
볶음류,모듬잡채,열량 : 59.75 kcal
밥류,서리태밥,열량 : 202.5 kcal
국류,맑은동태국,열량 : 20.89 kcal
조림류,두부양념장조림,열량 : 65.29 kcal
부침류,해물부추전,열량 : 58.8 kcal
볶음류,돼지고기굴소스볶음,열량 : 70.66 kcal
볶음류,간장오리주물럭볶음,열량 : 103.06 kcal
밥류,오곡밥(대보름),열량 : 421.45 kcal
찜류,중화절송편(완),열량 : 188.37 kcal
구이류,고등어구이(중화절),열량 : 295.05 kcal
볶음류,오리불고기&amp;무쌈(단오),열량 : 195.19 kcal
볶음류,감자채볶음,열량 : 47.69 kcal
국류,삼계탕(삼복),열량 : 382.66 kcal
무침류,참나물무침,열량 : 10.73 kcal
부침류,햄채소달걀말이,열량 : 69.52 kcal
부침류,오징어파전(삼복),열량 : 71.71 kcal
볶음류,견과류멸치볶음,열량 : 59.44 kcal
볶음류,훈제오리채소볶음,열량 : 113.1 kcal
죽류,녹두죽(삼복),열량 : 92.38 kcal
구이류,오리훈제채소구이,열량 : 95.67 kcal
면류,"메밀국수(온,소)-칠석",열량 : 238.5 kcal
구이류,바싹불고기(칠석),열량 : 191.71 kcal
국류,사골육수(그믐),열량 : 14.42 kcal
밥류,나물비빔밥(그믐),열량 : 490.07 kcal
조림류,오향장육,열량 : 76.07 kcal
부침류,햄치즈달걀말이,열량 : 91.73 kcal
밥류,밤밥(무오일),열량 : 399.25 kcal
볶음류,셀러리오이볶음(무오일),열량 : 82.44 kcal
찜류,돼지고기수육,열량 : 103.02 kcal
보조식,시루떡(무오일),열량 : 91.5 kcal
구이류,치킨스테이크,열량 : 137.51 kcal
볶음류,무나물(무오일),열량 : 35.03 kcal
밥류,현미찹쌀밥,열량 : 193.46 kcal
조림류,닭다리살간장조림,열량 : 100.29 kcal
국류,건새우무국(동지),열량 : 35.05 kcal
튀김류,치즈볼,열량 : 106.58 kcal
기타,수정과(동지),열량 : 21.34 kcal
구이류,마늘떡갈비(동지),열량 : 242.33 kcal
찜류,새우달걀찜,열량 : 55.27 kcal
죽류,동지팥죽(동지),열량 : 498.61 kcal
보조식,요구르트,열량 : 39 kcal
밥류,찰보리밥,열량 : 192.83 kcal
튀김류,콩고기견과류강정,열량 : 85.2 kcal
기타,파인애플,열량 : 15.9 kcal
볶음류,소불고기,열량 : 119.79 kcal
무침류,봄동나물,열량 : 16.85 kcal
구이류,닭다리오븐구이,열량 : 84.87 kcal
