,레시피구분,레시피명,열량
670,밥류,취나물밥,358.96
671,죽류,녹두죽,92.38
672,무침류,사과요거트샐러드,62.79
673,튀김류,오징어튀김,43.04
674,국류,수삼갈비탕,329.73
675,부침류,동태살전,112.2
676,국류,어린이근대국,25.77
677,밥류,참치회덮밥,383.22
678,조림류,풋고추감자조림,74.34
679,볶음류,오리주물럭,217.72
680,국류,맑은된장국,14.84
681,밥류,비빔밥,482.34
682,면류,메밀비빔국수,186.59
683,튀김류,감자튀김(후렌치후라이),115.35
684,튀김류,수제등심돈가스,388.74
685,보조식,흰우유,65.0
686,조림류,미트볼채소조림,142.37
687,국류,중국식달걀탕(세계음식-중국),129.68
688,국류,시래기콩나물국,20.56
689,국류,북어콩나물해장국,63.05
690,무침류,비타민유자청무침,21.65
691,볶음류,잡채어묵볶음,109.02
692,조림류,돼지고기김치찜,198.81
693,죽류,크림치즈단호박죽,336.63
694,국류,조갯살근대국,71.39
695,구이류,타코군만두,292.35
696,튀김류,미니돈가스/소스,266.1
697,무침류,양파링절임,16.48
698,부침류,참치두부전,184.56
699,면류,탄탄면,386.51
700,볶음류,해물퓨전떡볶이,263.9
701,볶음류,양송이버섯볶음,51.17
702,무침류,꽃맛살오이무침,27.06
703,볶음류,낙지볶음&amp;소면사리,103.25
704,국류,느타리버섯개장,117.77
705,국류,근대콩나물국,19.56
706,볶음류,어묵채굴소스볶음,108.17
707,무침류,진미채고추장무침,67.12
708,볶음류,고구마닭볶음탕,172.67
709,무침류,톳콩나물무침,40.77
710,보조식,과일꿀떡샐러드,111.8
711,찜류,순살아귀콩나물찜,134.9
712,구이류,치즈타코군만두,200.95
713,튀김류,납작만두튀김&amp;야채무침,147.64
714,찜류,감자범벅,107.47
715,무침류,돈육훈제머스터드야채무침,122.62
716,볶음류,쭈삼불고기,310.57
717,구이류,씨겨자닭살채소구이,159.99
718,밥류,귀리차조밥,388.56
719,국류,돼지고기청국장찌개,77.4
720,무침류,참나물레몬무침,27.11
721,조림류,알감자떡볶음,107.84
722,밥류,도토리묵비빔밥,413.37
723,튀김류,순살파닭,233.05
724,밥류,게살달걀볶음밥,312.89
725,튀김류,돈꼬노미야끼,305.54
726,무침류,치커리오이새콤무침,33.09
727,구이류,양념치킨스테이크,248.22
728,부침류,애호박달걀전,40.41
729,튀김류,파채돈육강정,247.35
730,볶음류,치즈어묵볶음,115.5
731,밥류,야채나물비빔밥,502.47
732,무침류,꽃맛살샐러드,98.61
733,국류,시래기감자탕,73.01
734,무침류,세발오이초무침,22.9
735,볶음류,세멸치견과류볶음,96.8
736,볶음류,브로콜리새우볶음,64.85
737,무침류,실곤약골뱅이무침,38.24
738,국류,얼큰오징어찌개,71.14
